Name,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,Yellow_Cards,Red_Cards
Daniel Podence,24,22,1661,3,2,636,75.2,0,0,3,0
Willy Boly,21,21,1879,1,1,1003,82.8,0,0,2,0
Rayan Aït Nouri,21,16,1404,1,1,785,83.7,0,0,1,0
Max Kilman,18,14,1310,0,1,731,88.6,0,0,4,0
Willian José,17,12,1110,1,0,306,81.4,0,0,0,0
Fábio Silva,32,11,1369,4,3,305,74.4,1,1,2,0
Raúl Jiménez,10,10,823,4,0,263,78.7,0,0,0,0
Fernando Marçal,13,7,623,0,0,370,82.7,0,0,2,0
Jonny Castro,7,7,495,0,0,239,78.7,0,0,0,0
Ki-Jana Hoever,12,5,577,0,0,350,74.3,0,0,1,0
Vitinha,19,5,520,0,1,329,87.8,0,0,0,0
Morgan Gibbs-White,11,4,414,1,0,235,80.9,0,0,1,0
Owen Otasowie,6,2,187,0,1,64,70.3,0,0,1,0
Rúben Vinagre,2,1,173,0,0,98,83.7,0,0,0,0
John Ruddy,2,1,91,0,0,24,79.2,0,0,0,0
Patrick Cutrone,2,0,25,0,0,5,80,0,0,0,0
Oskar Buur,1,0,22,0,0,15,93.3,0,0,0,0
Theo Corbeanu,1,0,9,0,0,3,100,0,0,0,0
Vicente Guaita,37,37,3330,0,0,1080,55.4,0,0,2,0
Cheikhou Kouyaté,36,35,3121,1,0,1216,78.8,0,0,4,0
Wilfried Zaha,30,29,2612,11,2,779,75.9,2,2,6,0
Eberechi Eze,34,29,2559,4,6,1158,79.3,0,0,3,0
Luka Milivojević,31,27,2359,1,1,1269,81.1,1,2,8,1
Andros Townsend,34,25,2258,1,5,864,67.9,0,0,0,0
Joel Ward,26,25,2256,0,1,1079,72.7,0,0,5,0
Jordan Ayew,33,23,2096,1,3,654,78.6,0,0,4,0
Christian Benteke,30,21,1816,10,1,574,63.8,0,0,3,1
Gary Cahill,20,20,1800,1,1,697,84.6,0,0,3,0
Patrick van Aanholt,22,20,1777,0,1,1127,78.9,0,0,2,0
Jaïro Riedewald,33,19,1820,2,0,628,84.9,0,0,4,0
Tyrick Mitchell,19,19,1710,1,1,779,70.2,0,0,1,0
James McArthur,18,17,1466,0,2,769,81.5,0,0,3,0
Jeffrey Schlupp,27,15,1428,2,3,429,70.9,0,0,3,0
Scott Dann,15,15,1350,1,0,604,84.1,0,0,1,0
Nathaniel Clyne,13,13,1145,0,1,569,76.8,0,0,2,0
James McCarthy,16,10,821,0,0,329,77.2,0,0,1,0
Michy Batshuayi,18,7,728,2,1,168,70.2,0,0,0,0
James Tomkins,8,6,553,0,0,164,78.7,0,0,1,0
Mamadou Sakho,4,3,276,0,0,82,87.8,0,0,0,0
Jean-Philippe Mateta,7,2,221,1,0,51,60.8,0,0,0,0
Jack Butland,1,1,90,0,0,21,28.6,0,0,0,0
Martin Kelly,1,0,2,0,0,2,100,0,0,0,0
James Ward-Prowse,38,38,3420,8,7,2619,80.8,3,4,5,0
Jan Bednarek,36,36,3100,1,1,2005,84.6,0,0,5,1
Stuart Armstrong,33,32,2764,4,5,1258,79.7,0,0,3,0
Alex McCarthy,30,30,2700,0,0,1069,64.3,0,0,2,0
Che Adams,36,30,2667,9,5,633,70,0,0,1,0
Kyle Walker-Peters,30,30,2645,0,2,1613,80.3,0,0,4,0
