Name,Nationality,Age,Club,Position
Danny Ings,ENG,28,Southampton,FW
Oriol Romeu,ESP,28,Southampton,MF
Theo Walcott,ENG,31,Southampton,"MF,FW"
Nathan Redmond,ENG,26,Southampton,"MF,FW"
Jack Stephens,ENG,26,Southampton,DF
Moussa Djenepo,MLI,22,Southampton,MF
Ibrahima Diallo,FRA,21,Southampton,MF
Takumi Minamino,JPN,25,Southampton,"MF,FW"
Mohammed Salisu,GHA,21,Southampton,DF
Fraser Forster,ENG,32,Southampton,GK
Nathan Tella,ENG,21,Southampton,"FW,MF"
William Smallbone,IRL,20,Southampton,MF
Shane Long,IRL,33,Southampton,"FW,MF"
Yan Valery,FRA,21,Southampton,"DF,MF"
Kayne Ramsey,ENG,19,Southampton,DF
Jake Vokins,ENG,20,Southampton,DF
Alexandre Jankewitz,SUI,18,Southampton,MF
Dan Nlundulu,ENG,21,Southampton,FW
Michael Obafemi,IRL,20,Southampton,FW
Caleb Watts,AUS,18,Southampton,"MF,FW"
Allan Tchaptchet,FRA,18,Southampton,DF
Ben White,ENG,22,Brighton,"DF,MF"
Yves Bissouma,MLI,23,Brighton,MF
Lewis Dunk,ENG,28,Brighton,DF
Leandro Trossard,BEL,25,Brighton,"FW,MF"
Adam Webster,ENG,25,Brighton,DF
Neal Maupay,FRA,23,Brighton,"FW,MF"
Pascal Groß,GER,29,Brighton,"MF,DF"
Robert Sánchez,ESP,22,Brighton,GK
Joël Veltman,NED,28,Brighton,DF
Dan Burn,ENG,28,Brighton,DF
Solly March,ENG,26,Brighton,DF
Danny Welbeck,ENG,29,Brighton,FW
Adam Lallana,ENG,32,Brighton,"MF,FW"
Alexis Mac Allister,ARG,21,Brighton,"MF,FW"
Mathew Ryan,AUS,28,Brighton,GK
Tariq Lamptey,ENG,19,Brighton,DF
Steven Alzate,COL,21,Brighton,"MF,DF"
Aaron Connolly,IRL,20,Brighton,FW
Jakub Moder,POL,21,Brighton,"DF,MF"
Alireza Jahanbakhsh,IRN,26,Brighton,"FW,MF"
Davy Pröpper,NED,28,Brighton,MF
Bernardo,BRA,25,Brighton,"DF,MF"
Percy Tau,RSA,26,Brighton,"FW,MF"
Andi Zeqiri,SUI,21,Brighton,"FW,DF"
José Izquierdo,COL,28,Brighton,"DF,MF"
Reda Khadra,GER,19,Brighton,FW
Jayson Molumby,IRL,20,Brighton,MF
Ashley Westwood,ENG,30,Burnley,MF
James Tarkowski,ENG,27,Burnley,DF
Dwight McNeil,ENG,20,Burnley,MF
Matthew Lowton,ENG,31,Burnley,DF
